SEED,PLANNING_EXPERIMENT,INPLACE,MOVING,ADVERSARIAL,OBSTACLES,Time,Distance
1,1,True,False,False,False,72.70399999999908,30.91597288996765
2,1,True,False,False,False,71.6159999999992,32.777408946552704
3,1,True,False,False,False,85.56799999999767,35.0127415544042
1,2,True,False,False,False,78.39999999999846,28.053396452343044
2,2,True,False,False,False,65.79199999999985,28.150746364051606
3,2,True,False,False,False,65.40799999999989,28.294440081152143
1,4,True,False,False,False,78.39999999999846,28.053396452343044
2,4,True,False,False,False,65.79199999999985,28.150746364051606
3,4,True,False,False,False,65.40799999999989,28.294440081152143
1,1,False,False,False,False,519.74400000006,185.41676116174898
2,1,False,False,False,False,299.4559999999934,99.05039688562535
3,1,False,False,False,False,469.05600000005006,194.56488607421275
1,2,False,False,False,False,207.0399999999843,70.05842919712639
2,2,False,False,False,False,190.07999999998617,65.41949501519798
3,2,False,False,False,False,177.85599999998752,67.51417437052999
1,4,False,False,False,False,207.0399999999843,70.05842919712639
2,4,False,False,False,False,158.33599999998967,55.79933382916946
3,4,False,False,False,False,177.85599999998752,67.51417437052999
1,1,True,True,False,False,274.36799999998505,102.64351106670942
2,1,True,True,False,False,228.60799999998193,83.8223734238573
3,1,True,True,False,False,251.5199999999794,102.93289058577591
1,2,True,True,False,False,180.99199999998717,72.49578208630176
2,2,True,True,False,False,195.64799999998556,77.19731395614117
3,2,True,True,False,False,198.65599999998523,69.581136628771741
1,4,True,True,False,False,180.99199999998717,72.49578208630176
2,4,True,True,False,False,151.16799999999046,64.80886305602088
3,4,True,True,False,False,128.127999999993,45.661655618937544
1,1,False,True,False,False,460.7360000000473,167.88407009228678
2,1,False,True,False,False,199.6799999999851,74.7421306615148
3,1,False,True,False,False,322.24000000000103,115.64279081033457
1,2,False,True,False,False,241.15199999998055,79.621992593636
2,2,False,True,False,False,181.5679999999871,63.508203940075155
3,2,False,True,False,False,249.08799999997967,64.41544082785497
1,4,False,True,False,False,241.15199999998055,79.621992593636
2,4,False,True,False,False,377.7920000000196,116.50986223058646
3,4,False,True,False,False,248.63999999997972,68.9872038373414
1,1,True,False,True,False,413.2480000000314,182.1088899031086
2,1,True,False,True,False,138.62399999999184,62.85655476445326
3,1,True,False,True,False,200.31999999998504,87.01051389005042
1,2,True,False,True,False,178.8159999999874,63.47296691372285
2,2,True,False,True,False,125.82399999999323,51.44668907102884
3,2,True,False,True,False,122.81599999999356,44.90101931291414
1,4,True,False,True,False,337.21600000000603,123.6689358422767
2,4,True,False,True,False,195.71199999998555,78.10470415819213
3,4,True,False,True,False,246.78399999997993,92.27938570652255
2,2,False,True,True,False,165.50399999998888,60.051337377725424
2,2,False,True,True,False,165.50399999998888,60.051337377725424
2,2,False,True,True,True,179.13599999998738,49.41161189903411
2,2,False,True,True,False,165.50399999998888,60.051337377725424
2,2,False,True,True,False,165.50399999998888,60.051337377725424
2,2,False,True,True,False,165.50399999998888,60.051337377725424
